title,description,date,time
Assignment Alpha,Intro to Databases,2026-04-10,08:00
Assignment Beta,SQL Queries,2026-04-12,09:15
Assignment Gamma,NoSQL Concepts,2026-04-14,10:30
Assignment Delta,Database Indexing,2026-04-16,11:45
Assignment Epsilon,Data Migration,2026-04-18,13:00
Assignment Zeta,Backup Strategies,2026-04-20,14:15
Assignment Eta,Database Security,2026-04-22,15:30
Assignment Theta,Scaling Databases,2026-04-24,16:45
Assignment Iota,Database Monitoring,2026-04-26,18:00
Assignment Kappa,Database Project,2026-04-28,19:15
