title,description
Introduction to Psychology,"Explore the fundamentals of human behavior and mental processes."
Calculus I,"Study limits, derivatives, and integrals of single-variable functions."
Principles of Microeconomics,"Examine the decision-making processes of individuals and firms."
World History: 1500-Present,"Survey major global events from 1500 to the present day."
Introduction to Computer Science,"Learn programming basics and computational thinking."
General Chemistry I,"Understand atomic structure, chemical bonding, and reactions."
English Composition,"Develop academic writing and critical reading skills."
Introduction to Sociology,"Analyze social structures, institutions, and relationships."
Biology I: Cell and Molecular,"Study the structure and function of cells and biomolecules."
Statistics for Social Sciences,"Apply statistical methods to analyze social science data."
Principles of Marketing,"Explore marketing strategies and consumer behavior."
Physics I: Mechanics,"Learn the laws of motion, forces, and energy."
Financial Accounting,"Understand accounting principles and financial statements."
Human Anatomy & Physiology I,"Examine the structure and function of the human body."
Introduction to Philosophy,"Discuss major philosophical questions and thinkers."
Macroeconomics,"Study national economies, inflation, and unemployment."
Art History: Renaissance to Modern,"Trace the development of art from the Renaissance to today."
Business Communication,"Develop effective written and oral business communication skills."
Environmental Science,"Investigate human impacts on the environment and sustainability."
Introduction to Political Science,"Explore political systems, ideologies, and institutions."
Programming in Python,"Learn to write and debug Python programs."
Organic Chemistry I,"Study the structure, properties, and reactions of organic molecules."
Introduction to Literature,"Analyze poetry, fiction, and drama from various cultures."
College Algebra,"Review algebraic concepts and problem-solving techniques."
Introduction to Criminal Justice,"Examine the criminal justice system and its components."
World Geography,"Study physical and human geography across the globe."
Introduction to Business,"Survey business concepts, structures, and operations."
Medical Terminology,"Learn the language of medicine and healthcare."
Introduction to Statistics,"Understand probability, distributions, and hypothesis testing."
Digital Photography,"Explore techniques and principles of digital photography."
Introduction to Ethics,"Discuss ethical theories and contemporary moral issues."
Web Development Fundamentals,"Learn HTML, CSS, and basic web design."
Introduction to Astronomy,"Study the universe, stars, and planetary systems."
Child Development,"Examine physical, cognitive, and social development in children."
Principles of Management,"Learn management theories and leadership skills."
Introduction to Graphic Design,"Explore design principles and software tools."
Introduction to Education,"Survey the field of education and teaching practices."
Introduction to Public Speaking,"Develop effective speech writing and delivery skills."
Microbiology,"Study microorganisms and their roles in health and disease."
Introduction to Theatre,"Explore theatre history, performance, and production."
Introduction to Environmental Studies,"Examine environmental issues and policy solutions."
Introduction to Anthropology,"Study human evolution, culture, and societies."
Introduction to Music,"Learn music theory, history, and appreciation."
Introduction to Nursing,"Survey the nursing profession and healthcare systems."
Introduction to Finance,"Understand financial markets, investments, and risk."
Introduction to Human Resources,"Explore HR management and employment law."
Introduction to Data Science,"Learn data analysis, visualization, and basic machine learning."
Introduction to Journalism,"Study news writing, reporting, and media ethics."
Introduction to Social Work,"Explore social welfare systems and practice methods."
Introduction to Culinary Arts,"Learn basic cooking techniques and food safety."
Introduction to Film Studies,"Analyze film history, genres, and criticism."
Introduction to Marketing,"Study market research, branding, and promotion."
Introduction to Entrepreneurship,"Learn how to start and manage a business."
Introduction to Information Systems,"Explore IT systems and their business applications."
Introduction to Linguistics,"Study language structure, history, and use."
Introduction to Genetics,"Examine heredity, DNA, and genetic disorders."
