title,description,date,time
Assignment 1,Introduction to Python,2026-02-10,09:00
Assignment 2,Data Structures and Algorithms,2026-02-12,10:00
Assignment 3,Web Development Basics,2026-02-15,11:00
Assignment 4,Database Fundamentals,2026-02-18,13:00
Assignment 5,REST API Design,2026-02-20,14:00
Assignment 6,Authentication and Authorization,2026-02-22,15:00
Assignment 7,File Uploads and Media,2026-02-25,16:00
Assignment 8,Forms and Validation,2026-02-28,17:00
Assignment 9,Deployment Strategies,2026-03-02,18:00
Assignment 10,Project Presentation,2026-03-05,19:00
