title,description,date,time
Assignment A,Advanced Python Concepts,2026-03-10,09:30
Assignment B,API Security,2026-03-12,10:30
Assignment C,Testing and Debugging,2026-03-15,11:30
Assignment D,Continuous Integration,2026-03-18,13:30
Assignment E,Cloud Deployment,2026-03-20,14:30
Assignment F,Microservices Architecture,2026-03-22,15:30
Assignment G,Performance Optimization,2026-03-25,16:30
Assignment H,Error Handling,2026-03-28,17:30
Assignment I,Documentation Best Practices,2026-04-02,18:30
Assignment J,Final Project Review,2026-04-05,19:30
